property,network_1,network_2,eager_time,noneager_time,obtuse_polytope_time,virtual_best,,,,,,,
3,5,1,0.316518323,1.94580002,5.234177025,0.316518323,,,,,,,
3,5,2,0.137057885,0.574712383,0.752092009,0.137057885,,,,,,,
3,5,3,0.006643289,0.174098781,0.08473179,0.006643289,,,,,,,
3,5,4,0.002842905,0.021308221,0.005023984,0.002842905,,,,,,,
3,5,5,0.005097988,0.045552858,0.011093918,0.005097988,,,,,,,
3,5,6,0.005187501,0.044866018,0.005851347,0.005187501,,,,,,,
3,5,7,0.000330889,0.000211364,0.000366171,0.000211364,,,,,,,
3,5,8,0.006903122,0.060906373,0.018683326,0.006903122,,,,,,,
3,5,9,0.003672653,0.025102336,0.004698398,0.003672653,,,,,,,
4,1,1,3.670253377,1.910169792,16.94395897,1.910169792,,,,,,,
4,1,2,0.775822289,1.518671354,5.275818649,0.775822289,,,,,,,
4,1,3,1.690906604,18.17994337,2.361953345,1.690906604,,,,,,,
4,1,4,0.058031303,0.04684239,0.057206322,0.04684239,,,,,,,
4,1,5,0.067713631,0.788024685,0.060013881,0.060013881,,,,,,,
4,1,6,0.023135713,0.181445739,0.034434595,0.023135713,,,,,,,
4,1,7,0.000329088,0.004546531,0.000175282,0.000175282,,,,,,,
4,1,8,0.000353111,0.004363506,0.000174652,0.000174652,,,,,,,
4,1,9,0.000278689,0.004617757,0.000134347,0.000134347,,,,,,,
4,2,1,0.009182112,0.083545265,0.132826536,0.009182112,,,,,,,
4,2,2,0.006300216,0.079018413,0.168700419,0.006300216,,,,,,,
4,2,3,0.002520856,0.024474233,0.008570887,0.002520856,,,,,,,
4,2,4,0.001315,0.018169185,0.001459859,0.001315,,,,,,,
4,2,5,0.005598464,0.081706504,0.014231607,0.005598464,,,,,,,
4,2,6,0.003320554,0.048485972,0.002277846,0.002277846,,,,,,,
4,2,7,0.002064608,0.027073034,0.001535212,0.001535212,,,,,,,
4,2,8,0.006549506,0.158683403,0.004699391,0.004699391,,,,,,,
4,2,9,0.000612366,0.005253174,0.00042865,0.00042865,,,,,,,
4,3,1,0.004924577,0.055736951,1.068662395,0.004924577,,,,,,,
4,3,2,0.004168309,0.046247289,0.007987192,0.004168309,,,,,,,
4,3,3,0.023269083,0.090585699,0.025236238,0.023269083,,,,,,,
4,3,4,0.001624258,0.015582923,0.001311357,0.001311357,,,,,,,
4,3,5,0.004347232,0.072414629,0.00462526,0.004347232,,,,,,,
4,3,6,0.002037318,0.027319726,0.001466053,0.001466053,,,,,,,
4,3,7,0.001542497,0.014538387,0.000998515,0.000998515,,,,,,,
4,3,8,0.003931855,0.038345576,0.00210521,0.00210521,,,,,,,
4,3,9,0.0042795,0.04162749,0.002940445,0.002940445,,,,,,,
4,4,1,0.000722693,0.004930363,0.081002278,0.000722693,,,,,,,
4,4,2,0.006832479,0.067396209,0.009078769,0.006832479,,,,,,,
