property,network_1,network_2,marabou result,marabou_time,nnenum_time,eran_time,priority_time_stopfreq1,priority_time_stopfreq5,priority_time_stopfreq10
1,4,7,unsat,889.814272,48.63219834,295.0678186,3.315512913,2.859510125,3.14804791
1,4,8,unsat,732.214528,37.76920733,96.38682938,1.190801813,0.955211699,1.069798414
1,4,9,TIMEOUT,99999999,97.80028068,242.9447436,7.953108646,6.754941728,7.322587246
1,5,1,unsat,26.7111,8.965524245,9.674068213,0.076446589,0.073858734,0.085857711
1,5,2,unsat,27.774884,13.45041296,11.77836847,0.094592124,0.087524456,0.104767516
1,5,3,unsat,18.502284,6.595940717,6.758005857,0.04545162,0.031770168,0.041744321
1,5,4,unsat,19.695272,5.451786984,8.067950964,0.032129448,0.034235517,0.032696179
1,5,5,unsat,67.291504,13.99042264,31.23327708,0.144359445,0.129334623,0.136326068
1,5,6,unsat,254.760176,31.93328739,58.00588441,0.721554663,0.629507429,0.647635806
1,5,7,unsat,214.965872,24.19628066,52.78693414,0.802748361,0.709907182,0.73724867
1,5,8,unsat,758.422208,32.59758297,129.6819775,1.58144298,1.364789568,1.46622482
1,5,9,unsat,385.143616,51.11053035,84.46498179,1.213910609,1.084273178,1.18790384
2,1,1,unsat,191.368416,4.632627837,125.549607,28.92294508,26.11446277,27.32735452
2,1,2,sat,391.633664,0.960077006,215.7866201,20.88741914,19.61706346,20.51207543
2,1,3,sat,15.104564,4.634300537,99999999,36.91592806,33.82247897,35.18956524
2,1,4,sat,20.561788,1.344526142,585.4884644,10.61274181,10.02603165,10.30046175
2,1,5,sat,637.132608,0.931243028,99999999,21.22845785,18.70315544,19.38010896
2,1,6,sat,764.146816,4.717959214,236.142689,2.505257991,2.403819077,2.413687698
2,1,7,unsat,223.237664,11.44308655,82.46820736,39.56663233,37.36125271,39.05622137
2,1,8,unsat,627.411584,17.53774847,220.5103526,23.49107001,24.23573619,24.86366338
2,1,9,unsat,339.457472,9.33917065,87.58243752,37.57466631,39.32974677,40.35734526
2,2,1,sat,27.246738,0.457935423,60.87568116,0.452703662,0.534226574,0.484542974
2,2,2,sat,43.878424,0.082534116,58.99870491,0.423432608,0.508901859,0.496956531
2,2,3,sat,44.684208,0.039128847,83.35699487,0.023979406,0.404901466,0.398559335
2,2,4,sat,19.741144,0.071316458,65.0105679,0.306734102,0.384139795,0.363039251
2,2,5,sat,77.13868,0.037385266,57.80622029,0.009764517,0.350507454,0.304695067
